iter	Passed	Remaining
0	182	91284
1	224	55843
2	245	40746
3	257	31910
4	283	28037
5	310	25523
6	319	22480
7	342	21077
8	367	20058
9	391	19198
10	418	18599
11	428	17416
12	455	17052
13	483	16775
14	499	16138
15	532	16114
16	548	15573
17	571	15297
18	596	15106
19	621	14911
20	644	14697
21	667	14513
22	690	14330
23	717	14229
24	730	13874
25	755	13773
26	785	13758
27	810	13668
28	828	13449
29	851	13338
30	875	13249
31	900	13174
32	926	13108
33	951	13047
34	977	12989
35	1004	12947
36	1034	12941
37	1064	12947
38	1096	12966
39	1128	12974
40	1156	12944
41	1191	12998
42	1233	13114
43	1273	13201
44	1307	13221
45	1345	13277
46	1373	13234
47	1400	13186
48	1428	13147
49	1456	13112
50	1487	13096
51	1518	13082
52	1546	13041
53	1570	12967
54	1593	12895
55	1618	12829
56	1643	12774
57	1668	12718
58	1693	12658
59	1717	12597
60	1741	12530
61	1763	12459
62	1788	12407
63	1813	12351
64	1839	12312
65	1865	12264
66	1893	12234
67	1917	12184
68	1943	12142
69	1967	12088
70	1991	12033
71	2015	11980
72	2042	11944
73	2066	11895
74	2090	11843
75	2115	11803
76	2140	11759
77	2167	11726
78	2197	11710
79	2223	11671
80	2248	11629
81	2273	11588
82	2296	11539
83	2320	11492
84	2344	11448
85	2369	11408
86	2393	11362
87	2419	11328
88	2447	11303
89	2472	11261
90	2500	11237
91	2530	11222
92	2559	11201
93	2586	11170
94	2613	11142
95	2643	11126
96	2677	11122
97	2710	11118
98	2741	11102
99	2773	11094
100	2800	11064
101	2829	11042
102	2856	11009
103	2883	10979
104	2913	10959
105	2937	10918
106	2962	10880
107	2988	10846
108	3016	10821
109	3046	10801
110	3072	10766
111	3101	10744
112	3131	10723
113	3160	10702
114	3190	10682
115	3216	10647
116	3242	10615
117	3269	10583
118	3294	10548
119	3323	10525
120	3350	10496
121	3377	10464
122	3401	10425
123	3426	10389
124	3452	10356
125	3479	10329
126	3510	10310
127	3534	10272
128	3559	10236
129	3584	10202
130	3608	10164
131	3633	10131
132	3658	10094
133	3681	10056
134	3706	10021
135	3731	9986
136	3755	9950
137	3780	9918
138	3808	9891
139	3832	9855
140	3863	9837
141	3888	9803
142	3912	9768
143	3937	9735
144	3962	9701
145	3986	9666
146	4011	9633
147	4036	9600
148	4062	9569
149	4087	9536
150	4113	9507
151	4142	9484
152	4171	9461
153	4197	9429
154	4222	9398
155	4248	9368
156	4273	9335
157	4305	9319
158	4329	9285
159	4353	9250
160	4376	9215
161	4400	9180
162	4424	9147
163	4450	9117
164	4476	9088
165	4500	9056
166	4525	9024
167	4549	8990
168	4573	8958
169	4600	8929
170	4629	8907
171	4653	8874
172	4676	8839
173	4700	8806
174	4724	8774
175	4753	8750
176	4777	8719
177	4802	8686
178	4828	8659
179	4851	8625
180	4875	8592
181	4899	8560
182	4925	8531
183	4950	8502
184	4976	8473
185	5007	8453
186	5037	8432
187	5067	8409
188	5097	8387
189	5121	8355
190	5144	8323
191	5169	8292
192	5193	8260
193	5217	8229
194	5243	8200
195	5268	8172
196	5293	8141
197	5321	8116
198	5349	8092
199	5377	8065
200	5405	8041
201	5431	8012
202	5466	7997
203	5504	7986
204	5539	7971
205	5567	7945
206	5596	7921
207	5624	7895
208	5653	7870
209	5684	7850
210	5714	7827
211	5744	7804
212	5775	7781
213	5805	7758
214	5835	7734
215	5863	7709
216	5891	7683
217	5920	7659
218	5947	7631
219	5974	7604
220	6002	7578
221	6031	7552
222	6059	7527
223	6088	7501
224	6117	7476
225	6150	7457
226	6184	7437
227	6213	7412
228	6245	7390
229	6272	7363
230	6300	7337
231	6334	7317
232	6365	7293
233	6392	7266
234	6419	7239
235	6456	7222
236	6489	7201
237	6526	7184
238	6558	7162
239	6585	7133
240	6611	7105
241	6640	7079
242	6668	7052
243	6694	7024
244	6726	7000
245	6752	6971
246	6777	6942
247	6816	6926
248	6841	6896
249	6866	6866
250	6892	6838
251	6916	6807
252	6940	6776
253	6965	6745
254	6990	6716
255	7017	6688
256	7048	6664
257	7072	6633
258	7099	6606
259	7124	6576
260	7148	6545
261	7174	6517
262	7198	6487
263	7224	6458
264	7248	6427
265	7274	6399
266	7305	6375
267	7334	6349
268	7364	6323
269	7390	6295
270	7416	6266
271	7443	6239
272	7475	6215
273	7502	6188
274	7530	6161
275	7555	6132
276	7579	6102
277	7602	6071
278	7626	6041
279	7651	6011
280	7677	5983
281	7702	5954
282	7727	5925
283	7751	5895
284	7776	5866
285	7800	5837
286	7827	5809
287	7855	5782
288	7883	5755
289	7911	5729
290	7939	5702
291	7965	5674
292	7992	5646
293	8021	5620
294	8047	5592
295	8074	5564
296	8101	5537
297	8125	5508
298	8150	5479
299	8177	5451
300	8203	5423
301	8232	5397
302	8257	5368
303	8281	5339
304	8307	5311
305	8332	5282
306	8355	5253
307	8380	5224
308	8404	5195
309	8427	5165
310	8453	5137
311	8480	5109
312	8508	5083
313	8537	5057
314	8562	5028
315	8585	4999
316	8611	4971
317	8636	4943
318	8661	4914
319	8687	4886
320	8711	4857
321	8735	4828
322	8761	4801
323	8791	4775
324	8817	4747
325	8846	4721
326	8874	4695
327	8899	4666
328	8923	4637
329	8947	4609
330	8971	4580
331	8995	4551
332	9019	4523
333	9043	4494
334	9067	4465
335	9093	4438
336	9119	4410
337	9143	4382
338	9166	4353
339	9192	4325
340	9217	4298
341	9241	4269
342	9269	4242
343	9299	4217
344	9329	4191
345	9352	4162
346	9380	4135
347	9408	4109
348	9437	4083
349	9467	4057
350	9496	4031
351	9523	4004
352	9550	3977
353	9575	3949
354	9598	3920
355	9622	3892
356	9646	3864
357	9674	3837
358	9699	3809
359	9724	3781
360	9748	3753
361	9772	3725
362	9796	3697
363	9821	3669
364	9846	3641
365	9871	3614
366	9894	3585
367	9920	3558
368	9943	3530
369	9967	3502
370	9990	3473
371	10014	3445
372	10038	3418
373	10064	3390
374	10088	3362
375	10112	3334
376	10137	3307
